DateTime,AddedIPs,RemovedIPs
1531267922,4,1
1531268522,3,2
1531269121,1,0
1531269723,4,0
1531270922,6,0
1531272122,6,5
1531273321,7,3
1531274521,1,0
1531275721,1,1
1531276922,2,0
1531278122,15,0
1531279322,15,6
1531280522,5,0
1531281721,7,0
1531282322,1,0
1531282921,1,0
1531283521,1,0
1531284122,1,3
1531286522,10,0
1531287121,6,0
1531287722,7,1
1531288322,8,0
1531288922,5,0
1531290122,7,1
1531291321,14,1
1531292522,6,0
1531293122,1,3
1531293722,2,0
1531294922,4,0
1531296122,2,1
1531297322,11,1
1531298521,6,8
1531299721,9,1
1531300922,5,3
1531301522,2,0
1531302122,2,0
1531303321,3,0
1531304522,2,0
1531305722,3,0
1531306321,1,0
1531306922,1,0
1531308123,2,0
1531309322,11,0
1531310522,2,1
1531311722,1,0
1531312922,2,0
1531313522,1,0
1531315322,1,2
1531316522,7,0
1531317122,3,0
1531317722,4,4
1531318322,1,0
1531318922,10,2
1531319522,5,0
1531320122,5,0
1531321322,3,2
1531323723,1,1
1531324322,2,0
1531324922,0,4
1531325522,1,0
1531326122,3,0
1531327322,5,1
1531327922,5,5
1531328522,2,1
1531329122,3,0
1531329722,5,0
1531330922,11,1
1531332122,11,5
1531333322,4,4
1531333922,2,1
1531334522,3,0
1531335722,6,0
1531336322,10,0
1531336922,11,1
1531337521,2,1
1531338122,2,0
1531339322,5,4
1531339922,4,1
1531340522,3,0
1531341122,10,3
1531341722,5,1
1531342322,8,0
1531342922,7,2
1531344122,8,3
1531344722,4,1
1531345321,4,1
1531345922,6,1
1531347122,9,0
1531347722,4,0
1531348922,4,0
1531350121,2,0
1531350722,5,0
1531351922,3,0
1531352521,1,1
1531353722,3,1
1531354922,4,0
1531355521,10,2
1531356122,4,1
1531357321,1,0
1531357922,2,0
1531358522,4,2
1531359122,1,0
1531359722,3,0
1531360322,1,0
1531360921,2,2
1531362122,7,0
1531363322,5,0
1531364522,7,0
1531365123,6,0
1531365722,14,1
1531366322,1,0
1531366922,0,2
1531367522,3,0
1531368121,4,0
1531369322,4,0
1531370522,1,0
1531371122,1,0
1531371722,2,0
1531372322,2,1
1531372922,10,2
1531374123,6,0
1531374722,2,2
1531375321,7,0
1531376522,8,0
1531377722,4,1
1531378321,1,0
1531378923,2,0
1531380121,2,5
1531380721,2,0
1531382521,5,5
1531383122,2,0
1531383722,6,0
1531384322,2,3
1531384922,0,5
1531386122,0,1
1531387322,1,3
1531388522,2,0
1531389122,4,0
1531389722,1,0
1531390322,2,0
1531390921,1,0
1531392122,2,1
1531393321,2,3
1531394523,1,0
1531395122,8,0
1531395722,3,0
1531396321,2,0
1531396922,5,0
1531397522,1,0
1531398122,1,2
1531399322,1,1
1531399922,1,0
1531400522,3,3
1531401122,3,0
1531401722,1,0
1531402321,1,1
1531402922,1,0
1531404121,3,1
1531405322,10,0
1531406522,6,0
1531407722,6,1
1531408321,7,1
1531408923,1,1
1531409522,3,0
1531410122,1,1
1531410722,2,0
1531411322,3,0
1531412522,4,0
1531413122,3,0
1531413722,1,1
1531414322,1,0
1531416122,2,2
1531417322,4,2
1531418522,1,0
1531419721,0,3
1531422122,4,0
1531423322,6,0
1531423921,5,1
1531424521,2,4
1531425722,2,0
1531426323,4,1
1531427521,1,1
1531428121,4,0
1531429322,1,6
1531430522,3,3
1531431721,6,0
1531432922,0,3
1531434722,3,4
1531435322,1,0
1531436521,3,3
1531437722,3,0
1531438922,5,1
1531440122,5,3
1531440722,1,3
1531441322,1,0
1531442522,5,0
1531443721,2,2
1531444922,4,0
1531446122,2,1
1531446722,1,0
1531447322,12,0
1531448522,7,0
1531449121,11,0
1531449722,8,5
1531450922,3,0
1531452122,4,1
1531453321,15,0
1531453921,6,0
1531454522,3,1
1531455722,4,0
1531456321,0,1
1531456922,1,1
1531458121,2,1
1531458722,2,0
1531459322,6,0
1531459922,1,0
1531460522,1,1
1531461722,4,0
1531462922,3,6
1531463522,1,0
1531464122,0,1
1531465922,1,2
1531466521,2,0
1531467722,0,7
1531468921,0,1
1531469522,0,7
1531470122,5,4
1531471323,25,0
1531472522,12,3
1531473722,13,1
1531474922,3,5
1531475521,3,0
1531476122,0,7
1531476722,1,0
1531477322,1,0
